country,year,region,gym_memberships,fitness_participation_rate,total_health_club_revenue_usd,number_of_gyms,gym_penetration_rate,urban_population_percentage,obesity_rate,gdp_per_capita_usd,population_total,average_membership_cost_usd,insufficient_physical_activity_pct,memberships_per_100k,gyms_per_100k,revenue_per_membership_usd,periodo,gym_memberships_norm,total_health_club_revenue_usd_norm,number_of_gyms_norm,gdp_per_capita_usd_norm,population_total_norm,average_membership_cost_usd_norm,memberships_per_100k_norm,gyms_per_100k_norm,revenue_per_membership_usd_norm
Angola,2010,Africa,499575.0,0.4434,31353297.0,678.0,0.0214,0.6013,0.072,4101.6372,23294825.0,5.23,0.1948,2144.575029003223,2.9105176793558227,62.759939948956614,pre_covid,0.004840386116729985,0.00036752075122090355,0.010846858428410735,0.028996752071485075,0.015931810845414212,0.0026769087523277517,0.06387974169073943,0.0923350555903542,0.0026781865969688987
Angola,2011,Africa,597222.0,0.448,40563352.0,767.0,0.0247,0.6084,0.0743,5184.1527,24218352.0,5.66,0.1922,2465.9894281823963,3.1670197873084014,67.92005652839313,pre_covid,0.005790388896777446,0.00047605097222361536,0.012277036798971557,0.03685975114785777,0.016568394947558397,0.007681564245810057,0.07459594528897379,0.1013789065008383,0.007682941191106581
Angola,2012,Africa,674167.0,0.4525,47488308.0,848.0,0.0268,0.6151,0.0765,5702.4531,25177394.0,5.87,0.1896,2677.6679111428293,3.368100765313519,70.43997703833027,pre_covid,0.00653898295405265,0.0005576538513719,0.013578659810380846,0.04062449684109135,0.01722945942156789,0.010125698324022348,0.08165346892998795,0.10846869769408972,0.01012699135059868
Angola,2013,Africa,731856.0,0.4566,51551918.0,921.0,0.028,0.6213,0.0788,5688.5792,26165620.0,5.87,0.1872,2797.0137913796807,3.5198860183706713,70.43997453050874,pre_covid,0.007100236350246675,0.0006055389607842575,0.014751727462638599,0.04052372187492626,0.017910640330112564,0.010125698324022348,0.08563255248845555,0.11382040107780138,0.010126988918283219
Angola,2014,Africa,789980.0,0.4605,55456598.0,995.0,0.0291,0.6272,0.0812,5649.6876,27160769.0,5.85,0.1849,2908.5332598646232,3.6633719759554673,70.20000253170966,pre_covid,0.007665721839688016,0.0006515512574909405,0.015940864534790294,0.040241227430386065,0.018596593239626508,0.009892923649906887,0.08935069745179097,0.11887948467950359,0.00989424205201276
Angola,2015,Africa,722300.0,0.4653,43684709.0,1009.0,0.0257,0.6352,0.0838,3641.7289,28157798.0,5.04,0.1828,2565.1863828272367,3.5833767967225283,60.48000692233144,pre_covid,0.007007266504105642,0.00051283268145753,0.01616583641330548,0.02565614536597727,0.019283842026913415,0.0004655493482309129,0.07790324815099132,0.11605898359155968,0.00046689832204884174
Angola,2016,Africa,609652.0,0.4699,36579129.0,993.0,0.0209,0.643,0.0865,2051.8146,29183070.0,5.0,0.1809,2089.0605409232135,3.402657773839421,60.00001476252026,pre_covid,0.005911319745200746,0.0004291013500211326,0.015908725695002412,0.014107585855825467,0.019990558620552337,0.0,0.06202884590499865,0.10968712211763623,1.35787737396463e-06
Angola,2017,Africa,749080.0,0.4744,44944802.0,1121.0,0.0248,0.6509,0.0893,2790.7189,30234839.0,5.0,0.1792,2477.539238756985,3.707643358047979,60.00000266994179,pre_covid,0.007267807784940393,0.0005276814713696391,0.017965611441426964,0.019474718084812312,0.020715539508526472,0.0,0.07498102486834053,0.12044042225791823,1.3461488816526e-06
Angola,2018,Africa,809378.0,0.4789,48562697.0,1203.0,0.0259,0.6587,0.0922,2860.0936,31297155.0,5.0,0.1776,2586.1072675775163,3.843799859763611,60.000021003783154,pre_covid,0.00785444401166832,0.0005703143268644876,0.019283303872730195,0.01997863068654747,0.021447790408666265,0.0,0.07860076656028392,0.1252410810588857,1.3639307234705655e-06
Angola,2019,Africa,814337.0,0.4832,48860240.0,1256.0,0.0252,0.6666,0.0953,2493.6788,32375632.0,5.0,0.1763,2515.277539601389,3.8794609476658244,60.00002455985667,pre_covid,0.007902689874687719,0.0005738205391018531,0.02013498312710911,0.017317126778317714,0.022191181032576723,0.0,0.07623924888174141,0.1264984335417468,1.3673797299010564e-06
Angola,2020,Africa,577709.0,0.4875,34662513.0,985.0,0.0173,0.6746,0.0985,1759.3562,33451132.0,5.0,0.1751,1727.0237670880615,2.9445939228603684,59.99995326366735,covid,0.005600547895547853,0.0004065161691446521,0.015780170335850875,0.011983274352593007,0.02293251962024776,0.0,0.04995826105138516,0.09353652901411819,1.2982301427660437e-06
Angola,2021,Africa,796246.0,0.4917,47774773.0,1255.0,0.0231,0.6825,0.1019,2303.9081,34532429.0,5.0,0.1741,2305.792042604359,3.6342650556090335,60.00001632661263,covid,0.007726683440349351,0.0005610295217408113,0.02011891370721517,0.015938701398891187,0.023677854060817665,0.0,0.0692548410816227,0.11785322158101416,1.3593943742812386e-06
Angola,2022,Africa,1084057.0,0.4958,65823926.0,1510.0,0.0304,0.6905,0.1054,3682.1132,35635029.0,5.06,0.1733,3042.1106153723067,4.2374035952096465,60.71998612619078,post_covid,0.010526782267023388,0.0007737186494389366,0.024216615780170335,0.025949482240691726,0.024437872588726626,0.0006983240223463642,0.09380426935581793,0.13911891438196183,0.0006996521764479407
Angola,2023,Africa,1083747.0,0.4995,65024795.0,1602.0,0.0295,0.6985,0.1054,2916.1366,36749906.0,5.0,0.1733,2948.97897153805,4.359194823518732,59.99997693188539,post_covid,0.010523766292525301,0.0007643017823257525,0.025695002410412983,0.02038570666581719,0.025206353612071044,0.0,0.09069918862727908,0.14341307679576834,1.3211857526160322e-06
Angola,2024,Africa,1097118.0,0.5031,65827108.0,1661.0,0.029,0.7066,0.1054,2665.8744,37885849.0,5.0,0.1733,2895.8516938606813,4.384222721259328,60.00002552141155,post_covid,0.010653852082892795,0.0007737561457582562,0.026643098184155552,0.018567893020237983,0.02598935535943953,0.0,0.08892788427481525,0.14429552013151917,1.3683123340658695e-06
Angola,2025,Africa,1106643.0,0.5031,66398569.0,1676.0,0.0292,0.7066,0.1054,2665.8744,37885849.0,5.0,0.1733,2920.993007177957,4.4238153406566125,59.999990060028395,post_covid,0.01074652033158402,0.0007804901759702833,0.02688413948256468,0.018567893020237983,0.02598935535943953,0.0,0.08976611502279348,0.14569149207827128,1.3339186304483226e-06
Angola,2026,Africa,1114798.0,0.5031,66887852.0,1688.0,0.0294,0.7066,0.1054,2665.8744,37885849.0,5.0,0.1733,2942.518194590281,4.455489436174441,59.99997488334209,post_covid,0.010825859918783699,0.0007862558301518131,0.027076972521291983,0.018567893020237983,0.02598935535943953,0.0,0.09048378134822785,0.14680826963567298,1.3191988873310697e-06
Albania,2000,Europe,49583.0,0.3577,3700860.0,87.0,0.0161,0.4161,0.1261,1160.4205,3089027.0,6.22,0.2031,1605.1332668830669,2.8164208341332078,74.63969505677349,pre_covid,0.00046243645110669967,4.166763754529956e-05,0.0013498312710911137,0.007632823152673346,0.0020040212107454137,0.014199255121042828,0.04589433790350154,0.08901735248790033,0.01420026328609083
Albania,2001,Europe,55630.0,0.3608,4218963.0,93.0,0.0182,0.4235,0.1306,1326.4165,3060173.0,6.32,0.2035,1817.8710811447586,3.0390438710491208,75.83970879022111,pre_covid,0.0005212674117193862,4.777290326761805e-05,0.0014462477904547647,0.008838557753869875,0.001984132244117185,0.015363128491620115,0.0529871804659183,0.09686668195804621,0.015364146728072311
Albania,2002,Europe,61835.0,0.3641,4763779.0,100.0,0.0203,0.4315,0.1352,1479.8388,3051010.0,6.42,0.2039,2026.7059105017684,3.277603154365276,77.04017142395084,pre_covid,0.0005816355464310977,5.419295188685142e-05,0.0015587337297123575,0.009952961569053098,0.0019778162185673663,0.016527001862197393,0.05994989450582263,0.10527789779110329,0.01652846555474222
Albania,2003,Europe,74496.0,0.3677,5971581.0,111.0,0.0245,0.4403,0.14,1908.699,3039616.0,6.68,0.2045,2450.835895060429,3.6517770665768308,80.15975354381443,pre_covid,0.0007048137823029718,6.84255507136247e-05,0.0017354973485457176,0.013068046162754535,0.0019699623721071862,0.01955307262569832,0.07409071482455683,0.11847066686284709,0.019554122573499342
Albania,2004,Europe,88595.0,0.3715,7463227.0,123.0,0.0293,0.4498,0.145,2446.9095,3026939.0,7.02,0.2051,2926.884221981348,4.063511025494733,84.23982166036458,pre_covid,0.0008419822482659728,8.600293434898964e-05,0.0019283303872730194,0.016977411584676055,0.0019612241579966276,0.023510242085661076,0.0899625326613165,0.1329877426442489,0.02351134705406115
Albania,2005,Europe,98024.0,0.3756,8469263.0,132.0,0.0325,0.4599,0.1501,2741.7214,3011487.0,7.2,0.2059,3255.003259187238,4.383216663395857,86.39989186321718,pre_covid,0.0009337165177577903,9.785794600925488e-05,0.002072955166318496,0.01911881805636508,0.0019505731455775732,0.025605214152700187,0.10090227405477797,0.14426004815276167,0.02560638136287263
Albania,2006,Europe,108099.0,0.3798,9599177.0,141.0,0.0361,0.4707,0.1554,3057.7726,2992547.0,7.4,0.2068,3612.274092938223,4.711705446898578,88.79986863893284,pre_covid,0.0010317356889456217,0.00011117272166847277,0.0022175799453639723,0.021414499082351754,0.0019375178663116601,0.027932960893854754,0.11281395879561074,0.15584203321899795,0.027934099081877786
Albania,2007,Europe,124030.0,0.3843,11639006.0,154.0,0.0418,0.482,0.1609,3743.0553,2970017.0,7.82,0.2079,4176.070372661166,5.185155505843906,93.84024832701766,pre_covid,0.001186727591297318,0.00013520983026095573,0.002426482403985216,0.02639214350144246,0.0019219880119367382,0.03282122905027933,0.13161136095577394,0.1725351192167671,0.032822721850725274
Albania,2008,Europe,140576.0,0.3888,13984465.0,167.0,0.0477,0.4939,0.1666,4498.5049,2947314.0,8.29,0.2091,4769.6309249710075,5.666176050464932,99.47974760983382,pre_covid,0.0013477027978952194,0.00016284844736180903,0.00263538486260646,0.03187945477508808,0.0019063389092348363,0.03829143389199254,0.1514011268862259,0.18949512833777085,0.038292425782761715
Albania,2009,Europe,143577.0,0.3935,13972896.0,173.0,0.049,0.5061,0.1724,4213.6501,2927519.0,8.11,0.2105,4904.391739216722,5.909440724381293,97.31987713909609,pre_covid,0.0013768993768267016,0.00016271211960624401,0.0027318013819701108,0.02981037305819781,0.0018926942813009002,0.03619646182495344,0.1558941562159912,0.19807224865950263,0.03619758519248432
Albania,2010,Europe,149976.0,0.3982,14523714.0,182.0,0.0515,0.5188,0.1783,4149.1447,2913021.0,8.07,0.212,5148.4695784891355,6.247809404738242,96.84025444071051,pre_covid,0.001439154927837216,0.0001692028950980594,0.0028764261610155872,0.029341829281576547,0.0018827008579219559,0.03573091247672253,0.164031899348035,0.21000258296494723,0.03573240308540485
Albania,2011,Europe,162899.0,0.4035,16166113.0,194.0,0.0561,0.5329,0.1844,4465.7091,2905195.0,8.27,0.2137,5607.162341942624,6.677692891527076,99.24009969367522,pre_covid,0.0015648821486074734,0.00018855673461852185,0.0030692591997428893,0.031641238005804956,0.001877306422043654,0.038058659217877086,0.17932506933281903,0.22515958184667195,0.038059993241576516
Albania,2012,Europe,164887.0,0.405,16125942.0,198.0,0.0576,0.5386,0.1906,4280.9332,2860708.0,8.15,0.2155,5763.852864395807,6.921363522596504,97.79995997258729,pre_covid,0.0015842233011952064,0.00018808336420890974,0.0031335368793186567,0.030299093037870616,0.0018466416802958888,0.036662011173184364,0.18454925202286082,0.2337510155633216,0.03666321358081505
Albania,2013,Europe,173305.0,0.4058,17302821.0,205.0,0.0615,0.543,0.197,4542.929,2816902.0,8.32,0.2175,6152.326208011496,7.277498471725321,99.84028735466374,pre_covid,0.0016661216022432624,0.00020195156998655718,0.003246022818576249,0.03220213528845596,0.0018164463495924789,0.038640595903165736,0.19750125247244843,0.24630775987097195,0.038642110313436374
Albania,2014,Europe,181192.0,0.4066,18416374.0,212.0,0.0653,0.5473,0.2036,4793.5975,2773767.0,8.47,0.2197,6532.343920740279,7.643035626280074,101.64010552342266,pre_covid,0.0017428538308445949,0.00021507354951743216,0.003358508757833842,0.03402290014953714,0.0017867135369665464,0.04038640595903167,0.21017133567636495,0.25919601078798565,0.040387739139847945
Albania,2015,Europe,175288.0,0.4071,17038031.0,212.0,0.0642,0.5516,0.2105,4199.5391,2731293.0,8.1,0.2221,6417.766237456032,7.761891529030389,97.20021336315092,pre_covid,0.0016854141100810262,0.00019883131530628565,0.003358508757833842,0.029707875883823218,0.0017574363494512143,0.036080074487895714,0.20635122747640985,0.2633866783535854,0.036081524281225054
Albania,2016,Europe,182659.0,0.4076,18105183.0,217.0,0.0679,0.5557,0.2176,4457.6341,2689469.0,8.26,0.2246,6791.638051972342,8.068507203466558,99.12012547971904,pre_covid,0.0017571262004855428,0.00021140651082938362,0.0034388558573035513,0.031582584141225924,0.0017286072047829172,0.03794227188081936,0.21881640170080624,0.2741974528480037,0.03794363123904579
Albania,2017,Europe,193922.0,0.4079,20012787.0,225.0,0.0732,0.5598,0.2251,5006.3601,2648285.0,8.6,0.2273,7322.550254221127,8.496064434152668,103.20018873567723,pre_covid,0.0018667033642660435,0.00023388549534203386,0.003567411216455086,0.03556833033255683,0.0017002192099947776,0.04189944134078212,0.23651742339309642,0.2892724316888774,0.041900851005359466
Albania,2018,Europe,208706.0,0.4081,22941004.0,233.0,0.08,0.5638,0.2328,5897.6545,2607733.0,9.16,0.2301,8003.350036219199,8.934963817231289,109.92019395704963,pre_covid,0.0020105361609748175,0.00026839126519399435,0.0036959665756066207,0.04204236885115186,0.0016722668507132938,0.048417132216014895,0.2592158124265571,0.3047473165424566,0.04841852875285821
Albania,2019,Europe,212598.0,0.4082,23623841.0,236.0,0.0828,0.5676,0.2407,6069.439,2567801.0,9.26,0.2331,8279.379905218511,9.190743363679662,111.1197706469487,pre_covid,0.0020484012343508014,0.00027643773728551046,0.003744174835288446,0.04329014901211505,0.0016447418553782126,0.049581005586592175,0.26841886083678607,0.31376569109888713,0.04958198830989954
Albania,2020,Europe,166224.0,0.4081,18430884.0,185.0,0.0657,0.5714,0.2488,6027.9135,2528480.0,9.24,0.2362,6574.068214895906,7.316648737581472,110.8798007507941,covid,0.0015972309073369563,0.00021524453367624004,0.002924634420697413,0.04298852287544919,0.001617638020319344,0.049348230912476726,0.21156245577647928,0.24768813514482468,0.049349243482966654
Albania,2021,Europe,205591.0,0.4079,24646266.0,220.0,0.0826,0.5751,0.2573,7242.4551,2489762.0,9.99,0.2394,8257.45593353903,8.836185948697105,119.88008229932244,covid,0.0019802304817440387,0.0002884858750228744,0.003487064116985377,0.05181051154814368,0.0015909498311631868,0.058077281191806336,0.2676878987367705,0.30126456810265156,0.05807854246974431
Albania,2022,Europe,224712.0,0.4076,27801408.0,237.0,0.0917,0.5786,0.2658,7756.9619,2451636.0,10.31,0.2428,9165.797859062275,9.667014189708423,123.72017515753498,post_covid,0.002166257734576051,0.00032566570278231107,0.003760244255182388,0.0555477019100253,0.0015646697056461753,0.06180167597765364,0.297972718071492,0.3305582327976616,0.061803016922636074
Albania,2023,Europe,252917.0,0.409,34993607.0,254.0,0.1048,0.5821,0.2658,9730.8692,2414095.0,11.53,0.2428,10476.6796667074,10.521541198668652,138.36004301806523,post_covid,0.0024406627691520096,0.00041041774247865196,0.004033424393379399,0.06988544698318619,0.001538792818691495,0.07600093109869645,0.34167852708260515,0.36068747785418565,0.07600210425034103
Albania,2024,Europe,265664.0,0.4104,40008954.0,259.0,0.1118,0.5855,0.2658,11377.7757,2377128.0,12.55,0.2428,11175.839079763478,10.895500789187624,150.59983287159721,post_covid,0.002564677694723353,0.00046951801042659447,0.004113771492849108,0.0818479771163549,0.0015133115880355812,0.08787243947858474,0.36498904035476987,0.37387269028848086,0.08787337567565313
Albania,2025,Europe,267970.0,0.4104,40356282.0,261.0,0.1127,0.5855,0.2658,11377.7757,2377128.0,12.55,0.2428,11272.846897600803,10.979635930416872,150.6,post_covid,0.0025871126534091236,0.000473610883335652,0.004145910332636992,0.0818479771163549,0.0015133115880355812,0.08787243947858474,0.36822335570971354,0.3768391597638526,0.08787353777211525
Albania,2026,Europe,269945.0,0.4104,40653662.0,263.0,0.1136,0.5855,0.2658,11377.7757,2377128.0,12.55,0.2428,11355.930349564684,11.063771071646121,150.59979625479264,post_covid,0.0026063273296469368,0.00047711517479990346,0.004178049172424875,0.0818479771163549,0.0015133115880355812,0.08787243947858474,0.3709934219829198,0.37980562923922445,0.0878733401613158
United Arab Emirates,2000,Asia,235662.0,0.3547,66230359.0,156.0,0.0675,0.7929,0.2406,29865.5023,3493575.0,23.42,0.4594,6745.58296301067,4.465339945471329,281.0396203036552,pre_covid,0.002272789737008483,0.0007785080088198302,0.0024586212437730996,0.21613610248733653,0.0022828748071797634,0.2143854748603352,0.2172808895666005,0.1471555827169747,0.2143858517717305
United Arab Emirates,2001,Asia,253042.0,0.3487,67197752.0,169.0,0.068,0.7975,0.2458,27745.1708,3723590.0,22.13,0.4705,6795.646137195556,4.538630730021297,265.55967784004235,pre_covid,0.0024418788879012384,0.0007899076558454426,0.0026675237023943434,0.20073478525344574,0.002441423384811706,0.19937150837988826,0.21895003434887902,0.14973969765416995,0.19937198300169323
United Arab Emirates,2002,Asia,277181.0,0.3429,73641512.0,186.0,0.0701,0.8027,0.2513,27753.609,3956826.0,22.14,0.4817,7005.134923800036,4.700737409226486,265.680230607437,pre_covid,0.0026767260118022865,0.0008658401770832022,0.0029407038405913546,0.20079607727079443,0.0026021921870748783,0.199487895716946,0.22593455182704353,0.15545531788835704,0.1994889061384415
United Arab Emirates,2003,Asia,309107.0,0.3371,86389123.0,205.0,0.0737,0.8085,0.2571,29659.5429,4192457.0,23.29,0.4928,7372.931910810295,4.889734110570484,279.47967208765897,pre_covid,0.0029873324693052844,0.0010160565481131907,0.003246022818576249,0.21464008827602016,0.002764611854905203,0.21287243947858472,0.23819718662400532,0.16211903696330676,0.21287287083797868
United Arab Emirates,2004,Asia,349326.0,0.3315,107061312.0,227.0,0.0789,0.8147,0.263,33376.7152,4428967.0,25.54,0.5038,7887.3019374495225,5.125348642245472,306.4796551072637,pre_covid,0.0033786211091071097,0.001259655228118883,0.0035995500562429695,0.24164027659814405,0.0029276374145240573,0.23905959031657353,0.2553466794419125,0.17042642559968424,0.23905993211436596
United Arab Emirates,2005,Asia,397733.0,0.3265,137313316.0,252.0,0.0853,0.8221,0.2665,38719.3138,4664790.0,28.77,0.5142,8526.278782110234,5.402172445061836,345.2399373449022,pre_covid,0.00384957039145841,0.0016161413381252751,0.004001285553591516,0.28044697068911095,0.0030901894273184295,0.27665270018621974,0.2766506595356122,0.18018678671768057,0.2766532107956933
United Arab Emirates,2006,Asia,459736.0,0.321,177476484.0,286.0,0.0918,0.8256,0.2643,44342.6048,5009100.0,32.17,0.5238,9178.016010860234,5.709608512507237,386.03999686776757,pre_covid,0.004452794477925815,0.002089419456356821,0.004547645829985537,0.32129251233648215,0.0033275211698763235,0.3162243947858473,0.2983800806619529,0.1910264869473402,0.3162248526752357
United Arab Emirates,2007,Asia,541831.0,0.3147,215085418.0,335.0,0.0963,0.8276,0.2594,45854.7325,5624635.0,33.08,0.5339,9633.176197211018,5.95594203001617,396.96034003222405,pre_covid,0.005251492627669241,0.0025325987770770998,0.005335047404788687,0.3322760582611895,0.003751807406568181,0.3268156424581005,0.3135554718056031,0.19971180974795355,0.32681640361803277
United Arab Emirates,2008,Asia,645956.0,0.307,276107314.0,394.0,0.1025,0.8297,0.2564,50054.1701,6302664.0,35.62,0.5461,10248.93600547324,6.251324836608774,427.4398163342395,pre_covid,0.006264519545776728,0.003251673729277113,0.006283143178531255,0.36277924640961307,0.00421917055046405,0.35637802607076347,0.33408537802573274,0.21012653142672333,0.35637819678707
United Arab Emirates,2009,Asia,667247.0,0.2986,225876620.0,425.0,0.0995,0.8317,0.2566,37803.0664,6707058.0,28.21,0.5592,9948.430444466114,6.336608390743005,338.52024812400805,pre_covid,0.006471658620095351,0.0026597610511291986,0.006781295195243451,0.2737916826494211,0.0044979179952084865,0.270135009310987,0.3240662911945953,0.21313349209017637,0.2701358395344572
United Arab Emirates,2010,Asia,743041.0,0.2924,289250828.0,461.0,0.1082,0.8337,0.2609,44795.2949,6869838.0,32.44,0.5691,10815.990129607133,6.710493027637623,389.2797678728361,pre_covid,0.007209054655927657,0.003406555375388047,0.007359794311425358,0.3245806886611473,0.0046101217100398125,0.3193668528864059,0.3529913992275078,0.22631606178048297,0.3193670799044006
United Arab Emirates,2011,Asia,829749.0,0.2876,365919277.0,503.0,0.1168,0.8357,0.2673,51921.9045,7104538.0,36.75,0.5769,11679.140853353167,7.0799818369611085,440.99996143412045,pre_covid,0.008052632451992617,0.004310007495261939,0.008034709946970914,0.3763457901331066,0.004771899642653846,0.36952979515828677,0.3817695090920555,0.23934364167558336,0.3695300698971178
United Arab Emirates,2012,Asia,902364.0,0.2825,405955639.0,545.0,0.1221,0.8376,0.2731,53141.6124,7391448.0,37.49,0.585,12208.216847361979,7.3733861078370575,449.88013595400525,pre_covid,0.008759100155794541,0.004781791346281783,0.008709625582516471,0.3852053049309496,0.0049696657553351085,0.3781424581005587,0.39940931018751313,0.24968860337387844,0.37814287806549274
United Arab Emirates,2013,Asia,974527.0,0.2774,439122080.0,589.0,0.1267,0.8396,0.2784,53247.2409,7693031.0,37.55,0.5932,12667.65985994337,7.656280079984079,450.6002193884828,pre_covid,0.009461170374199253,0.005172620844216747,0.00941668005784991,0.38597255195691704,0.0051775459183156704,0.378840782122905,0.41472749405600784,0.25966298887891026,0.3788412810611199
United Arab Emirates,2014,Asia,1053645.0,0.2722,470726510.0,638.0,0.1307,0.8414,0.2835,52725.2358,8059440.0,37.23,0.6013,13073.426937851762,7.916182762077763,446.76006624622147,pre_covid,0.010230905439811049,0.0055450437855091425,0.01020408163265306,0.38218089666961463,0.005430110428376068,0.3751163873370577,0.4282560809252694,0.26882673855275224,0.37511674813922546
United Arab Emirates,2015,Asia,1102582.0,0.2671,430139381.0,684.0,0.1296,0.8433,0.2883,44910.335,8505237.0,32.51,0.6093,12963.565859481634,8.04210394137165,390.1200826786579,pre_covid,0.010707011065659078,0.005066769759975574,0.010943274947774386,0.32541629812821343,0.005737396823883261,0.32018156424581,0.4245932279655313,0.27326651638185606,0.3201820943173924
United Arab Emirates,2016,Asia,1176619.0,0.2621,440384870.0,735.0,0.1317,0.8451,0.2929,42721.0999,8935095.0,31.19,0.6172,13168.511358860762,8.225989762839678,374.2799240875764,pre_covid,0.011427313336352227,0.00518750141526437,0.011762815362365418,0.3095144901917334,0.0060336965194844674,0.30481843575418993,0.4314262687486987,0.27975003406981286,0.30481885489049526
United Arab Emirates,2017,Asia,1253087.0,0.2573,478178040.0,780.0,0.1359,0.8469,0.2971,43733.6192,9223225.0,31.8,0.6248,13586.213065386566,8.456911763510051,381.60003255959083,pre_covid,0.012171266684480373,0.005632851751662259,0.012485939257592801,0.31686906231629836,0.00623230357412478,0.31191806331471134,0.44535276532723317,0.2878919716261298,0.3119185678409537
United Arab Emirates,2018,Asia,1323334.0,0.2526,537697178.0,815.0,0.1416,0.8486,0.3008,47135.3592,9346701.0,33.86,0.6321,14158.30034575836,8.719654132511566,406.3200809470625,pre_covid,0.012854696234696908,0.006334218377706392,0.013048368953880765,0.3415780650770533,0.00631741517194093,0.33589385474860334,0.4644265958341446,0.2971558440834915,0.335894339285252
United Arab Emirates,2019,Asia,1355379.0,0.2481,538844292.0,838.0,0.1435,0.8503,0.3044,45938.6074,9445785.0,33.13,0.6392,14349.035045790264,8.871681919501661,397.5598648053423,pre_covid,0.013166460437249172,0.006347735836172743,0.013417965611441427,0.33288529504461745,0.006385713444949574,0.32739757914338924,0.47078583762296883,0.30251609882277586,0.32739787776040385
